"Company Name","Primary Phone","Email","Website","Primary Representative","Physical Address 1","Physical Address 2","Physical City","Physical State","Physical Zip","Mailing Address 1","Mailing Address 2","Mailing City","Mailing State","Mailing Zip","Membership Status","Join Date","Membership Type","Renewal Month","Billing Contact","Annual Fees and Dues Amount"
"Light On Anxiety Treatment Centers","(847) 610-6763","hello@lightonanxiety.com","https://lightonanxiety.com/","Haley Tomlinson","3330 Old Glenview Rd., Ste. 14","","Wilmette","IL","60091","3330 Old Glenview Rd., Ste. 14","","Wilmette","IL","60091","Active","9/18/2018","Basic","January","Haley Tomlinson","300.00"
"Secure Futures Ltd.","(847) 446-2790","charlie@secureil.com","http://www.secureil.com","Max Ieuter","413 Linden Ave.","","Wilmette","IL","60091","413 Linden Ave.","","Wilmette","IL","60091","Active","10/19/2018","Platinum","January","Charlie Ieuter","1,500.00"
"Bella Cosa Jewelers","(847) 251-5000","hello@mybella.com","https://www.bellacosajewelers.com/","","1149 Wilmette Ave.","","Wilmette","IL","60091","1149 Wilmette Ave.","","Wilmette","IL","60091","Active","12/10/2018","Platinum","January","Kristina Holloway","1,500.00"
"YWCA Shop for Good","(847) 853-8888","ywshop@ywca-ens.org","http://www.ywca-ens.org/shop","Marko Djurovic","1107 Central Ave.","","Wilmette","IL","60091","1107 Central Ave.","","Wilmette","IL","60091","Active","1/18/2019","Not-For-Profit","January","Marko Djurovic","250.00"
"OsteoStrong","(224) 408-2369","wilmette@osteostrong.me","http://osteostrongwilmette.me","Lyndon Sumlin","126 Skokie Blvd.","","Wilmette","IL","60091","126 Skokie Blvd.","","Wilmette","IL","60091","Active","1/21/2019","Silver","January","Lyndon Sumlin","500.00"
"Savant Wealth Management","(866) 489-0500","mward@savantwealth.com","https://savantwealth.com","","1000 Skokie Blvd., Ste. 100","","Wilmette","IL","60091","1000 Skokie Blvd., Ste. 100","","Wilmette","IL","60091","Active","3/20/2019","Basic","January","Carrie Petrak","300.00"
"Big City Optical LLC","(847) 251-7211","vision@bigcityoptical.com","http://www.bigcityoptical.com","Michael Kogelis","1515 Sheridan Rd.","Plaza del Lago","Wilmette","IL","60091","1515 Sheridan Rd.","Plaza del Lago","Wilmette","IL","60091","Active","6/6/2019","Basic","January","Michael Kogelis","300.00"
"Pescadero Seafood & Oyster Bar","(224) 215-3011","josh@vandalaybrands.com","http://www.pescaderofish.com","Josh Schoenfeld","1167 Wilmette Ave.","","Wilmette","IL","60091","1167 Wilmette Ave.","","Wilmette","IL","60091","Active","6/17/2019","Silver","January","Kate Ahern","0.00"
"The Insurance People ","(773) 697-8082","alexandra.eidenberg@insuranceppl.com","http://www.insuranceppl.com","Alexandra Eidenberg","5225 Old Orchard Rd., #8","","Skokie","IL","60077","5225 Old Orchard Rd., #8","","Skokie","IL","60077","Active","","Basic","January","Alexandra Eidenberg","300.00"
"Lapels Dry Cleaning","(847) 251-2433","lapels.wilmette@gmail.com","http://www.mylapels.com/locations/wilmette/","Fahim Zuberi","819 Ridge Rd.","","Wilmette","IL","60091","819 Ridge Rd.","","Wilmette","IL","60091","Active","11/19/2019","Basic","January","Fahim Zuberi","0.00"
"New Trier High School","(847) 446-7000","sallyp@nths.net","http://newtrier.k12.il.us","Paul Sally","385 Winnetka Ave.","","Winnetka","IL","60093","7 Happ Rd.","","Northfield","IL","60093","Active","12/11/2019","Not-For-Profit","January","Lindsey Ruston","250.00"
"Optima, Inc.","(847) 920-8990","burnhama@optima.inc","http://www.optimaverdana.com","Mark Segal","1210 Central Ave","","Wilmette","IL","60091","1210 Central Ave","","Wilmette","IL","60091","Active","1/24/2020","Platinum","January","Ali Burnham","1,500.00"
"The School of Saints Faith, Hope & Charity","(847) 446-0031","lgarrett@faithhopeschool.org","http://www.faithhopeschool.org/","Linda Garrett","180 Ridge Ave.","","Winnetka","IL","60093","180 Ridge Ave.","","Winnetka","IL","60093","Active","1/1/2020","Not-For-Profit","January","Tom Meagher","250.00"
"Canning & Canning","(847) 853-7040","chris@canninglegal.com","http://www.canninglegal.com","Christopher Canning","1000 Skokie Blvd., Ste. 355","","Wilmette","IL","60091","1000 Skokie Blvd., Ste. 355","","Wilmette","IL","60091","Active","2/14/2020","Silver","January","Christopher Canning","500.00"
"Sophia Steak","(847) 728-8220","info@sophiasteak.com","http://www.sophiasteak.com","Kate Thompson","1146 Wilmette Ave.","","Wilmette","IL","60091","1146 Wilmette Ave.","","Wilmette","IL","60091","Active","2/19/2020","Platinum","January","Kate Thompson","0.00"
"Moomba Arts LLC","(847) 624-8216","p.hansen@comcast.net","","Peter Hansen","1036 Marshall Rd.","","Northbrook","IL","60062","1036 Marshall Rd.","","Northbrook","IL","60062","Active","5/12/2020","Basic","January","Peter Hansen","300.00"
"Bleachers Sports, Music & Framing","(847) 441-7767","bleacherz@aol.com","http://www.bleacherssports.com","Keith McDonough","1100 Central","","Wilmette","IL","60091","1100 Central","","Wilmette","IL","60091","Active","8/4/2020","Basic","January","Keith McDonough","300.00"
"Artis Senior Living - Wilmette","(847) 239-5558","treich@artismgmt.com","https://wilmette.artisseniorliving.com/","Tracey Reich","335 Ridge Road","","Wilmette","IL","60091","335 Ridge Road","","Wilmette","IL","60091","Active","11/2/2020","Silver","January","Tracey Reich","500.00"
"One Magnificent Medspa","(847) 503-9056","concierge@1mmspa.com","http://www.1mmspa.com","Stephanie Svec","1100 Central Ave, Ste J","","Wilmette","IL","60091","1100 Central Ave, Ste J","","Wilmette","IL","60091","Active","11/23/2020","Silver","January","Stephanie Svec","500.00"
"Optimum Fitness Formula 7","(224) 408-2929","optimumfitnessformula@gmail.com","https://www.optimumfitnessformula7.com/joining","Dennis Riza","123 Green Bay Road","","Wilmette","IL","60091","123 Green Bay Road","","Wilmette","IL","60091","Active","12/2/2020","Basic","January","Dennis Riza","300.00"
"Our Place of New Trier","(847) 512-4661","info@ourplaceofnewtrier.org","http://www.ourplaceofnewtrier.org","Pam Tingley","1020 Forest Avenue","","Wilmette","IL","60091","1020 Forest Avenue","","Wilmette","IL","60091","Active","5/24/2021","Not-For-Profit","January","Pam Tingley","250.00"
"Nathan Sulack State Farm Insurance","(847) 906-0096","nathan@sulackinsurance.com","http://sulackinsurance.com","Nathan Sulack","417 Linden Ave","Unit 1","Wilmette","IL","60091","417 Linden Ave","Unit 1","Wilmette","IL","60091","Active","","Basic","January","Nathan Sulack","300.00"
"Plum Grove","(847) 230-8535","sharon@plumgroveinc.com","http://www.plumgroveinc.com","Sharon Yale","320 Cary Point Dr.","","Cary","IL","60013","320 Cary Point Dr.","","Cary","IL","60013","Active","10/25/2021","Basic","January","Sharon Yale","300.00"
"Actors Training Center Inc.","(847) 251-8710","Info@actorstrainingcenter.com","http://www.actorstrainingcenter.org","Carole Dibo","1159 Wilmette Ave., Ste. 8","","Wilmette","IL","60091","1159 Wilmette Ave., Ste. 8","","Wilmette","IL","60091","Active","","Not-For-Profit","January","Christina Ramirez","250.00"
"Giggles & Giraffes","847-251-6665","denisehelms@comcast.net","https://www.gigglesgiraffes.com/","","1193 Wilmette Ave","","Wilmette","IL","60091","1193 Wilmette Ave","","Wilmette","IL","60091","Active","7/10/2023","Silver","January","Denise Helms","500.00"
"Sophia's Estate Sales","(773) 729-0638","sophia@sophiadubrul.com","https://www.sophiasestatesales.com","Sophia du Brul","","","Wilmette","IL","60091","1149 New Trier Ct","","Wilmette","IL","60091","Active","1/24/2022","Basic","January","Sophia du Brul","300.00"
"Buck Russell's Bakery & Sandwich Shop","(847) 920-4222","nicole@ballyhoohospitality.com","https://buckrussells.com/","Nicole  Manion","1137 Greenleaf ","","Wilmette","IL","60091","1137 Greenleaf ","","Wilmette","IL","60091","Active","3/9/2022","Platinum","January","Nicole  Manion","0.00"
"North Shore Exchange NFP","(847) 410-7337","wendy@northshoreexchange.org","https://northshoreexchange.org/","Arden Edelcup","1100 Central Avenue","","Wilmette","IL","60091","1100 Central Avenue","","Wilmette","IL","60091","Active","4/21/2022","Not-For-Profit","January","Arden Edelcup","250.00"
"Loyola Academy","(847) 256-1100","legan@loy.org","https://www.goramblers.org/","Lynn Egan","1100 Laramie Ave","","Wilmette","IL","60091","1100 Laramie Ave","","Wilmette","IL","60091","Active","12/6/2022","Not-For-Profit","January","Lynn Egan","250.00"
"Cook County Commissioner Scott Britton - 14th District","(847) 729-9300","liz.polmanski@cookcountyil.gov","https://www.cookcountyil.gov/all-people/scott-britton","Liz Polmanski","1812 Waukegan Road","","Glenview","IL","60025","1812 Waukegan Road","","Glenview","IL","60025","Active","1/23/2023","Basic","January","Liz Polmanski","300.00"
"Trinity Wilmette","(847) 251-7333","trinityinfo@trinitywilmette.org","http://trinitywilmette.com","Brian Smith","1024 Lake Avenue","","Wilmette","IL","60091","1024 Lake Avenue","","Wilmette","IL","60091","Active","3/1/2023","Not-For-Profit","January","Brian Smith","250.00"
"TRG Heating & Cooling","(224) 395-0282","service@therayesgroup.com","http://www.trgheatingandcooling.com","Sarah Montalvo","7441 CHANNEL RD.","","SKOKIE","IL","60076","7441 CHANNEL RD.","","SKOKIE","IL","60076","Active","3/9/2023","Basic","January","Sarah Montalvo","300.00"
"AA Service Company","(847) 383-0416","smansfield@aaserviceco.com","http://aaserviceco.com","","550 Anthony Trail","","Northbrook","IL","60062","550 Anthony Trail","","Northbrook","IL","60062","Active","3/31/2023","Silver","January","","500.00"
"A.J. Horner with Engel & Volkers","(224) 629-0059","Chicagonorthshore@evrealestate.com","https://ajhorner.evrealestate.com","A.J. Horner","536 Westmoreland Avenue","","Waukegan","IL","60085","536 Westmoreland Avenue","","Waukegan","IL","60085","Active","6/30/2023","Basic","January","A.J. Horner","300.00"
"NorthShore Loyalty","(847) 477-0429","ron@northshoreloyalty.com","https://www.northshoreloyalty.com/","Ron Goldblatt","790 Estate Dr.","Suite 201","Deerfield","IL","60015","790 Estate Dr.","Suite 201","Deerfield","IL","60015","Active","6/27/2023","Basic","January","Ron Goldblatt","300.00"
"Ballyhoo Hospitality","(312) 577-4004","info@ballyhoohospitality.com","http://ballyhoohospitality.com","CARLEIGH CONNELLY","908 N. Halsted","","Chicago","IL","60642","908 N. Halsted","","Chicago","IL","60642","Active","6/28/2023","Platinum","January","Luquisha Willis","1,500.00"
"League of Women Voters Wilmette","","lwvwilmetteevents@gmail.com","https://www.lwvwilmette.org/","Anne Treadway","P.O. Box to 322","","Wilmette","IL","60091","P.O. Box to 322","","Wilmette","IL","60091","Active","7/10/2023","Not-For-Profit","January","Anne Treadway","250.00"
"Youth Choral Theater of Chicago","(217) 417-3769","info@youthchoraltheater.org","http://youthchoraltheater.org","Daniel Hammond","PO Box 128","","Wilmette","IL","60091","PO Box 128","","Wilmette","IL","60091","Active","9/15/2023","Not-For-Profit","January","Daniel Hammond","250.00"
"Valley Lodge Tavern","(847) 920-5675","valleylodgeevents@gmail.com","http://www.valleylodgetavern.com","Chris Stavrou","1141 Central Avenue","","Wilmette","Illinois","60091","1141 Central Avenue","","Wilmette","Illinois","60091","Active","11/14/2023","Basic","January","Chris Stavrou","300.00"
"Vibrato Boutique","(847) 853-1434","vibratoboutique@hotmail.com","https://vibratoboutique.com","Janice Samberg","1152 Wilmette Ave","","Wilmette","IL","60091","1152 Wilmette Ave","","Wilmette","IL","60091","Active","12/20/2023","Basic","January","Janice Samberg","300.00"
"Abbott Painting Company Inc.","(773) 725-9800","rob@abbottpainting.com","http://www.abbottpainting.com","Bobby  Drell","540 W. Frontage Rd","","Northfield","IL","60093","540 W. Frontage Rd","","Northfield","IL","60093","Active","1/4/2024","Silver","January","Bobby  Drell","1,500.00"
"Pella Windows and Doors","(847) 562-9275","lackowskibc@pella.com","https://www.pella.com/locations/il/northfield/","Bonnie Lackowski","500 Central Ave","","Northfield","IL","60093","500 Central Ave","","Northfield","IL","60093","Active","1/18/2024","Silver","January","Bonnie Lackowski","500.00"
"The Wayfair Store","(847) 214-6280","jjacksonwhitman@wayfair.com","https://www.wayfair.com/m/wilmette","Johanna Jackson-Whitman","","","Wilmette","IL","60091","","","Wilmette","IL","60091","Active","2/6/2024","Platinum","January","Johanna Jackson-Whitman","1,500.00"
"FocalPoint Business Leadership Coaching","(847) 404-4857","tchowaniec@focalpointcoaching.com","https://tomchowaniec.focalpointcoaching.com","Tom Chowaniec","1500 SHERIDAN RD UNIT 9K","","Wilmette","IL","60091","1500 SHERIDAN RD UNIT 9K","","Wilmette","IL","60091","Active","2/13/2024","Basic","January","Tom Chowaniec","300.00"
"Patrician Gallery and Gatherings","(312) 391-5839","info@thepatriciangallery.com","http://thepatriciangallery.com","Patti Schumann","1135 Central Ave.","","Wilmette","IL","60091","1135 Central Ave.","","Wilmette","IL","60091","Active","4/25/2024","Silver","January","Patrice Bockos","500.00"
"Youth Services of Glenview/Northbrook","(847) 724-2620","Whitney.Madeen@ysgn.org","http://www.ysgn.org","Whitney Madeen","3080 West Lake Avenue","","Glenview","Illinois","60026","3080 West Lake Avenue","","Glenview","Illinois","60026","Active","4/29/2024","Not-For-Profit","January","Whitney Madeen","250.00"
"Pro Self Storage ","(847) 250-0565","fuhler@refinedrealtyllc.com","http://proself-storage.com","Frank Uhler","3632 Lake Ave","","Wilmette","IL","60091","2724 W 21st St.","","Chicago","IL","60608","Active","5/1/2024","Silver","January","Frank Uhler","500.00"
"Style Exteriors, Inc","(847) 865-3069","office@styleexteriors.com","http://www.styleexteriors.com","Kathleen Dessimoz","20876 N Rand Rd","","Kildeer","Illinois","60047","20876 N Rand Rd","","Kildeer","Illinois","60047","Active","5/8/2024","Gold","January","Kathleen Dessimoz","1,000.00"
"GreatWater 360 Auto Care - Evanston","(847) 328-1862","jkowalski@greatwatergarages.com","http://greatwater360autocare.com","Gus Hirth","2620 Crawford Avenue","","Evanston","IL","60201","2620 Crawford Avenue","","Evanston","IL","60201","Active","6/17/2024","Silver","January","Gus Hirth","500.00"
"Club Wilmette","(847) 921-3925","grafeedie@tellyourstoryinc.com","https://www.clubwilmette.com","George Rafeedie","1100 Central Ave., Unit G","","Wilmette","IL","60091","1100 Central Ave., Unit G","","Wilmette","IL","60091","Active","7/11/2024","Basic","January","George Rafeedie","300.00"
"North Shore Garage Doors","(847) 998-5555","office@northshoregaragedoors.com","https://www.northshoregaragedoors.com/","Will Santiago","3538 Lake Ave","","Wilmette","IL","60091","3538 Lake Ave","","Wilmette","IL","60091","Active","8/6/2024","Basic","January","Will Santiago","300.00"
"FRÍO Gelato","(847) 563-8252","info@friogelato.com","https://www.friogelato.com/","Edyta  Kucab","1152 Central Ave","","Wilmette","IL","60091","1701 Simpson Street","","Evanston","IL","60201","Active","9/4/2024","Basic","January","Edyta  Kucab","300.00"
"EvaDean's Bakery & Cafe","(847) 867-3796","downer.jordana@gmail.com","https://evadeans.com/","Jordana Downer","1115 Central Ave","","Wilmette","IL","60091","1115 Central Ave","","Wilmette","IL","60091","Active","9/24/2024","Basic","January","Jordana Downer","300.00"
"Light Up Your Holidays","(312) 728-8499","kelly@lightupyourholidays.com","https://lightupyourholidays.com/","Kelly Christmas Fitzsimmons","2211 W Foster Ave","","Chicago","IL","60625","2211 W Foster Ave","","Chicago","IL","60625","Active","10/2/2024","Basic","January","Kelly Christmas Fitzsimmons","1,500.00"
"Craig Scott Opticians","(847) 256-8206","craigscottoptics@gmail.com","https://0ecff09.rcomhost.com/","CRAIG Scott","1146 Central Avenue","","Wilmette","IL","60091","1146 Central Avenue","","Wilmette","IL","60091","Active","10/9/2024","Platinum","January","CRAIG Scott","1,500.00"
"MazMez Middle Eastern Grill","(847) 789-7741","mazmezgrill@outlook.com","https://mazmezgrill.com/","Rubair Abuhamama","1109 Central Ave","","Wilmette","IL","60091","1109 Central Ave","","Wilmette","IL","60091","Active","10/15/2024","Platinum","January","Rubair Abuhamama","1,500.00"
"Epoch North Shore Salon","(224) 255-1644","hello@epochnorthshore.com","https://epochnorthshore.com/","Beth Schindler","430 Green Bay Rd","","Kenilworth","IL","60043","430 Green Bay Rd","","Kenilworth","IL","60043","Active","10/17/2024","Silver","January","Beth Schindler","500.00"
"Edens Plaza","","edensplaza@wsdevelopment.com","http://www.edensplaza.com","","3232 Lake Ave.","","Wilmette","IL","60091","3232 Lake Ave.","","Wilmette","IL","60091","Active","12/31/2024","Platinum","January","","750.00"
"Elizabeth Griffin","(847) 508-1566","elizabethgriffin1132@gmail.com","http://elizabethgriffingifts.com","Matt & Beth Lambrecht","1129 Central Ave.","","Wilmette","IL","60091","1129 Central Ave.","","Wilmette","IL","60091","Active","11/25/2024","Platinum","January","Matt & Beth Lambrecht","1,500.00"
"SUV Chicago Limo","(312) 806-1074","info@suvchicagolimo.com","http://www.suvchicagolimo.com","Borislav Petrov","3443 W. Irving Park Rd","","Chicago","IL","60018","3443 W. Irving Park Rd","","Chicago","IL","60018","Active","11/26/2024","Silver","January","Annie Nikodimova","500.00"
"Floor Coverings International","(224) 432-0555","om.eggener@fcifloors.com","http://floorcoveringsinternational.com","Lindsley Godbout","1946 Lehigh Avenue","Suite B","Glenview","IL","60026","1946 Lehigh Avenue","Suite B","Glenview","IL","60026","Active","12/9/2024","Basic","January","Lindsley Godbout","300.00"
"Kenilworth Historical Society","(847) 251-2565","info@kenilworthhistory.org","http://kenilworthhistory.org","Will Taylor","415 Kenilworth Ave","","Kenilworth","IL","60043","415 Kenilworth Ave","","Kenilworth","IL","60043","Active","1/6/2025","Not-For-Profit","January","Will Taylor","250.00"
"Big Blue Swim School","(847) 728-3041","kedelstein@bigblueswimschool.com","https://bigblueswimschool.com/","Kate Edelstein","3232 Lake Ave","Suite 350","Wilmette","IL","60091","3232 Lake Ave","Suite 350","Wilmette","IL","60091","Active","1/3/2025","Basic","January","Kate Edelstein","300.00"
"James Martin Associates","(847) 634-1660","l.cuna@jamesmartinassociates.com","https://www.jamesmartinassociates.com/","Leslie Cuna","1440 Townline Rd","","Mundelein","IL","60060","1440 Townline Rd","","Mundelein","IL","60060","Active","1/23/2025","Basic","January","Leslie Cuna","300.00"
"Chicago Racoons","(773) 902-0292","info@chicagoracoons.com","http://www.chicagoracoons.com","Annie Nikodimova","3443 W. Irving Park Rd.","","Chicago","IL","60618","3443 W. Irving Park Rd.","","Chicago","IL","60618","Active","1/30/2025","Silver","January","Annie Nikodimova","250.00"
"Dermatology Physicians","(213) 483-4397","clinical-admin@chicagodermatologyphysicians.com","http://chicagodermatologyphysicians.com","Claire Moran","554 Green Bay Rd","","Kenilworth","IL","60043","554 Green Bay Rd","","Kenilworth","IL","60043","Active","1/30/2025","Silver","January","Claire Moran","500.00"
"DDK Kitchen Design Group","(847) 728-0823","dbertucci@ddkkitchens.com","http://www.ddkkitchens.com","Kathleen Herzog","400 Ridge Road","","Wilmette","IL","60091","400 Ridge Road","","Wilmette","IL","60091","Active","3/11/2025","Platinum","March","","1,500.00"
"Freedom Home Care ","(847) 315-0263","lbogira@freedomhomecare.net","http://freedomhomecare.net","Fran Chiappetta","1749 Green Bay Rd.","","Highland Park","IL","60035","1749 Green Bay Rd.","","Highland Park","IL","60035","Active","4/14/2025","Gold","April","Rebecca Donze","1,000.00"
"One Compassionate Home Care, Inc.","(847) 989-7701","info@onecompassionate.com","https://www.onecompassionatehomecare.com/","David Nulud","1701 E. Lake Ave. Suite 205","","Glenview","IL","60035","1701 E. Lake Ave. Suite 205","","Glenview","IL","60035","Active","5/14/2025","Platinum","April","David Nulud","1,500.00"
"Nicole Jones Photography","(972) 742-8399","Nicole@nicolejonesphotography.com","http://www.nicolejonesphotography.com","Nicole Jones","","","Wilmette","IL","60091","","","Wilmette","IL","60091","Active","5/8/2025","Basic","May","Nicole Jones","300.00"
"Pioneer Concierge Medicine","(847) 510-2805","pioneerconciergemedicine@gmail.com","http://pioneerconcierge.com","Mark Stefaniuk","3633 West Lake Avenue","Suite 108","GLENVIEW","IL","60026","3633 West Lake Avenue","Suite 108","GLENVIEW","IL","60026","Active","5/23/2025","Basic","May","Mark Stefaniuk","300.00"
"The UPS Store Wilmette Downtown","(847) 256-1187","store1119@theupsstore.com","http://theupsstore.com","Jeet Mistry","1189 Wilmette Ave","","WILMETTE","IL","60091","1189 Wilmette Ave","","WILMETTE","IL","60091","Active","5/27/2025","Silver","May","Jeet Mistry","500.00"
"Hadley","(800) 323-4238","info@HadleyHelps.org","https://hadleyhelps.org/","Mary Clifford","700 Elm St","","Winnetka","IL","60093","700 Elm St","","Winnetka","IL","60093","Active","6/6/2025","Not-For-Profit","May","Mary Clifford","250.00"
"Uncharted","(224) 403-0180","gabrielle.lewis@tpsgroupholdings.com","http://locations.thepaperstore.com","Gabrielle Lewis","3232 Lake Avenue","Edens Plaza","Wilmette","IL","60091","3232 Lake Avenue","Edens Plaza","Wilmette","IL","60091","Active","6/2/2025","","June","Gabrielle Lewis","300.00"
"LuxRally Travel","(847) 907-0507","katerina.kaplich@luxrallytravel.com","http://luxrallytravel.com","Katerina Kaplich","301 Wood Creek Rd","Ste 510","Wheeling","IL","60090","301 Wood Creek Rd","Ste 510","Wheeling","IL","60090","Active","6/19/2025","Silver","June","Katerina Kaplich","500.00"
"Adamczyk Fine Homes + Interiors","(847) 446-9900","elliot@adamczykfinehomes.com","https://www.adamczykfinehomes.com/","Elliot Adamczyk","7243 St. Louis Ave.","","Skokie","IL","60076","7243 St. Louis Ave.","","Skokie","IL","60076","Active","7/21/2025","Basic","July","Elliot Adamczyk","300.00"
"Egg Harbor Cafe","","Brandi.Walt@eggharborcafe.com","http://eggharborcafe.com","Brandi Walt","707 Green Bay Rd.","","Wilmette","IL","60091","707 Green Bay Rd.","","Wilmette","IL","60091","Active","7/14/2025","Silver","July","Brandi Walt","500.00"
"The Strategy Studio LLC","(847) 502-4075","","https://www.thestrategystudio.com","Jen Herrmann","1189 Wilmette Avenue","#159","Wilmette","IL","60091","1189 Wilmette Avenue","#159","Wilmette","IL","60091","Active","7/22/2025","Basic","July","Jen Herrmann","300.00"
"J.P Morgan","(580) 678-4589","henryrawner@yahoo.com","","Henryk  Rawner","1200 Central Ave","","Wilmette","IL","60091","633 W North Ave","Apt 823","Chicago","IL","60610","Active","7/22/2025","Basic","July","Henryk  Rawner","300.00"
"North Shore Country Day","(847) 446-0674","communications@nscds.org","http://nscds.org","Gia Anayas","310 Green Bay Road","","Winnetka","IL","60093","","","Wilmette","IL","60091","Active","7/28/2025","Not-For-Profit","July","Gia Anayas","250.00"
"Chicago Artisan Market","(312) 461-9400","jjsmith@stylechicago.com","http://www.chicagoartisanmarket.com","Lynna  Smith","","","","","60523","","","Wilmette","IL","60091","Active","7/21/2025","Basic","August","","300.00"
"Small Cheval","(773) 718-5171","erika@smallcheval.com","","Erika Federschmidt","1139 Wilmette Avenue","","Wilmette","IL","60091","1139 Wilmette Avenue","","Wilmette","IL","60091","Active","1/12/2026","Basic","August","Erika Federschmidt","300.00"
"Forefront Dermatology","(847) 920-9177","paige.mcmorris@forefrontderm.com","https://forefrontdermatology.com/location/wilmette-il-60091/","Willow McMorris","401 Linden Avenue","","Wilmette","IL","60091","401 Linden Avenue","","Wilmette","IL","60091","Active","9/16/2025","Silver","September","Willow McMorris","300.00"
"June Children's Shop","(312) 282-5876","info@junechildrensshop.com","http://junechildrensshop.com","Stacy Lucier","416 Ridge Road","1","Wilmette","IL","60091","415 Birch Street","","Winnetka","IL","60093","Active","9/23/2025","Silver","September","Stacy Lucier","500.00"
"Katharine Coombes Physical Therapy PLLC","(224) 255-3293","kcoombes@kcoombespt.com","https://sites.google.com/kcoombespt.com/katharine-coombes/home?authuser=0","Katharine Coombes","562 Green Bay Rd","","Kenilworth","IL","60043","604 Brier St","","Kenilworth","IL","60043","Active","9/16/2025","Silver","September","Katharine Coombes","500.00"
"Linden Jewelry & Estate","(847) 881-4122","seth@lindenjewelers.com","http://lindenjewelers.com","Seth Weiner","509 4th Street","","Wilmette","IL","60091","509 4th Street","","Wilmette","IL","60091","Active","9/16/2025","Basic","September","Seth Weiner","300.00"
"Nine 4 Nine Architectural Design","(773) 936-9866","lheusdens@icloud.com","","Leigh Ann Heusdens","329 Washington Avenue","","wilmette","IL","60091","329 Washington Avenue","","wilmette","IL","60091","Active","10/4/2025","Basic","October","Leigh Ann Heusdens","300.00"
"Fred Astaire Dance Studios - Wilmette","(847) 450-1114","wilmette@fredastaire.com","https://www.fredastaire.com/wilmette/","Ellie Homan","1222 Washington Court","Suite 200","Wilmette","IL","60091","1222 Washington Court","Suite 200","Wilmette","IL","60091","Active","10/14/2025","Silver","October","Ellie Homan","500.00"
"Talia","(847) 424-1855","info@taliaboutique.com","http://shoptaliaboutique.com","Asia Cavallo","1111 Central Ave","","Wilmette","IL","60091","1111 Central Ave","","Wilmette","IL","60091","Active","10/16/2025","","October","Asia Cavallo","300.00"
"The Henry at Harms Woods","(847) 916-0466","henryatharmswoods@knck.io","http://thehenryatharmswoolds.com","Emme Dekorsi","5424 Old Orchard Rd","","Skokie","IL","60077","5424 Old Orchard Rd","","Skokie","IL","60077","Active","12/10/2025","Silver","November","Nicholas Wenhardt","500.00"
"Heart Certified Auto Care ","(847) 251-3888","ebony@heartautocare.com","","Ebony Willett","1201 Green Bay Road","","Wilmette","IL","60091","1201 Green Bay Road","","Wilmette","IL","60091","Active","12/10/2025","","January","Ebony Willett","300.00"
"Haven Youth and Family Services","(847) 251-6630","adina@havenforyouth.org","http://www.havenforyouth.org","Adina Bewley","825 Green Bay Rd","Suite 200","Wilmette","IL","60091","825 Green Bay Rd","Suite 200","Wilmette","IL","60091","Active","12/19/2025","Not-For-Profit","January","Adina Bewley","250.00"
"Care at Home Providers, LLC","(312) 940-7895","admin@careathomeproviders.com","","Sherry Cruz","15255 S 94th Ave","Suite 500","Orland Park","IL","60462","15255 S 94th Ave","Suite 500","Orland Park","IL","60462","Active","1/8/2026","Basic","December","Sherry Cruz","300.00"
"Campfire Sauna and Social","(508) 243-3138","brett@campfiresauna.com","","Brett Rudowsky","101 Lake Ave","","Wilmette","IL","60091","232 Wood Court","brett@campfiresauna.com","Wilmette","IL","60091","Active","1/8/2026","Basic","January","Brett Rudowsky","600.00"
"Forward Focus Concierge Medicine Northfield","(224) 255-5600","mgreenberg@forwardfocusmed.com","","Marti Greenberg","1622 Willow Rd., Suite 101","Ste 100","Northfield","IL","60093","1622 Willow Rd., Suite 101","Ste 100","Northfield","IL","60093","Active","3/12/2026","Silver","January","Brad Silverman","500.00"
"Full Bloomed Lotus, LLC","(847) 716-0065","ramaa.krishnan@yahoo.com","","Ramaa Krishnan","22 Green Bay Road","Suite 204","Winnetka","IL","60093","22 Green Bay Road","Suite 204","Winnetka","IL","60093","Active","3/13/2026","","February","Ramaa Krishnan","300.00"
"Cultural Care Au Pair","(847) 224-6501","laurie.murlick@lcc.culturalcare.com","https://www.culturalcare.com/lcc/lmurlick/","Laurie Murlick","","","","IL","","","","","IL","","Active","3/12/2026","Basic","March","Laurie Murlick","300.00"
"Soccer Stars of Chicago North Shore and Barrington","(847) 792-1132","northshorebarrington@soccerstars.com","","Harrison Ryan","1156 Park Ln","","Glenview","IL","60025","1156 Park Ln","","Glenview","IL","60025","Active","3/13/2026","Basic","March","Laura Zeligman","300.00"
"Chic Noel, LLC","(847) 602-9066","Diane@ChicNoel.com","http://www.ChicNoel.com","Diane Panagakis","10456 Sawgrass Ln","","Huntley","IL","60142","10456 Sawgrass Ln","","Huntley","IL","60142","Active","3/27/2026","Silver","March","Diane Panagakis","500.00"
"See Jane Sparkle","(847) 331-0302","cso@seejanesparkle.com","http://www.seejanesparkle.com","Sara Jane Abbott","1707 Dobson St.","","Evanston","IL","60202","1707 Dobson St.","","Evanston","IL","60202","Active","3/31/2026","","March","Sara Jane Abbott","300.00"
